h_km,i_deg,P,T,F,Ns,DG_worst,DA_worst,DT_bar_worst,DT_worst,feasible_flag,dominant_fail_tag,slice_source
800,80,6,6,1,36,0.000696952643352233,0.0263998606686894,0.125523012552301,0.251046025104602,0,GAT,hi
1000,80,6,6,1,36,4.65315633277896e-05,0.00682140479520826,0.0867052023121387,0.173410404624277,0,GAT,hi
800,30,6,6,1,36,9.99989424599335e-10,3.16226093894753e-05,0.212014134275618,0.424028268551237,0,GAT,hi
1000,30,6,6,1,36,9.99978766458298e-10,3.16225953460641e-05,0.201342281879195,0.402684563758389,0,GAT,hi
800,30,6,8,1,48,12.1605844792644,3.48720295928741,0.303030303030303,0.606060606060606,0,T,hi
1000,30,6,8,1,48,10.514075606564,3.24254153505565,0.280373831775701,0.560747663551402,0,T,hi
800,80,6,8,1,48,5.07636136726092,2.2530781982127,0.145278450363196,0.290556900726392,0,T,hi
1000,80,6,8,1,48,1.00001074088141e-09,3.16229464294744e-05,0.116279069767442,0.232558139534884,0,GAT,hi
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,PT
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,PT
1000,30,4,4,1,16,9.99991200956174e-10,3.1622805996578e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
800,60,4,4,1,16,9.99968108317262e-10,3.16221599972219e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
800,30,4,4,1,16,9.99953897462547e-10,3.16220476481607e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
800,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,PT
1000,60,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,PT
1000,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,PT
1000,30,4,6,1,24,0.000480675363336516,0.0219243098733705,0.109489051094891,0.218978102189781,0,GAT,PT
800,60,6,4,1,24,0.000320627031186405,0.0179060612974044,0.130718954248366,0.261437908496732,0,GAT,PT
1000,60,6,4,1,24,1.00001784630877e-09,3.16229464294744e-05,0.120481927710843,0.240963855421687,0,GAT,PT
800,60,4,6,1,24,1.00000008274037e-09,3.16227779099239e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
1000,80,6,4,1,24,9.99992977313013e-10,3.1622665563058e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
1000,30,6,4,1,24,9.99991200956174e-10,3.16227234919606e-05,0.0896860986547085,0.179372197309417,0,GAT,PT
800,30,4,6,1,24,9.99989424599335e-10,3.16226093894753e-05,0.11472275334608,0.229445506692161,0,GAT,PT
800,80,6,4,1,24,9.99985871885656e-10,3.16223846941469e-05,0.0802139037433155,0.160427807486631,0,GAT,PT
1000,60,4,6,1,24,9.99982319171977e-10,3.16224970420107e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
1000,80,4,6,1,24,9.99968108317262e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
800,30,6,4,1,24,9.99957450176225e-10,3.16222161716029e-05,0.0907715582450832,0.181543116490166,0,GAT,PT
800,80,4,6,1,24,9.99946792035189e-10,3.16219352987003e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
800,30,4,8,1,32,2.39978349822952,1.54912346126124,0.169491525423729,0.338983050847458,0,T,PT
1000,30,4,8,1,32,0.0514327658638624,0.226787931477899,0.166204986149584,0.332409972299169,0,GAT,PT
800,60,4,8,1,32,1.00000718816773e-09,3.16228902563907e-05,0.093167701863354,0.186335403726708,0,GAT,PT
1000,60,4,8,1,32,9.99989424599335e-10,3.16226093894754e-05,0.0920245398773006,0.184049079754601,0,GAT,PT
800,80,4,8,1,32,9.99975213744619e-10,3.1621654423303e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
1000,80,4,8,1,32,9.99964555603583e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,PT
800,60,6,6,1,36,1.4853499283908,1.21874932959562,0.166204986149584,0.332409972299169,0,T,PT
1000,60,6,6,1,36,0.108124104340491,0.328822299030717,0.155038759689922,0.310077519379845,0,GAT,PT
800,80,6,6,1,36,0.000696952643352233,0.0263998606686894,0.125523012552301,0.251046025104602,0,GAT,PT
1000,80,6,6,1,36,4.65315633277896e-05,0.00682140479520826,0.0867052023121387,0.173410404624277,0,GAT,PT
800,30,6,6,1,36,9.99989424599335e-10,3.16226093894753e-05,0.212014134275618,0.424028268551237,0,GAT,PT
1000,30,6,6,1,36,9.99978766458298e-10,3.16225953460641e-05,0.201342281879195,0.402684563758389,0,GAT,PT
800,30,6,8,1,48,12.1605844792644,3.48720295928741,0.303030303030303,0.606060606060606,0,T,PT
1000,30,6,8,1,48,10.514075606564,3.24254153505565,0.280373831775701,0.560747663551402,0,T,PT
800,80,6,8,1,48,5.07636136726092,2.2530781982127,0.145278450363196,0.290556900726392,0,T,PT
1000,80,6,8,1,48,1.00001074088141e-09,3.16229464294744e-05,0.116279069767442,0.232558139534884,0,GAT,PT
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,nominal
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,nominal
1000,30,4,4,1,16,9.99991200956174e-10,3.1622805996578e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
800,60,4,4,1,16,9.99968108317262e-10,3.16221599972219e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
800,30,4,4,1,16,9.99953897462547e-10,3.16220476481607e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
800,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,nominal
1000,60,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,nominal
1000,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,nominal
1000,30,4,6,1,24,0.000480675363336516,0.0219243098733705,0.109489051094891,0.218978102189781,0,GAT,nominal
800,60,6,4,1,24,0.000320627031186405,0.0179060612974044,0.130718954248366,0.261437908496732,0,GAT,nominal
1000,60,6,4,1,24,1.00001784630877e-09,3.16229464294744e-05,0.120481927710843,0.240963855421687,0,GAT,nominal
800,60,4,6,1,24,1.00000008274037e-09,3.16227779099239e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
1000,80,6,4,1,24,9.99992977313013e-10,3.1622665563058e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
1000,30,6,4,1,24,9.99991200956174e-10,3.16227234919606e-05,0.0896860986547085,0.179372197309417,0,GAT,nominal
800,30,4,6,1,24,9.99989424599335e-10,3.16226093894753e-05,0.11472275334608,0.229445506692161,0,GAT,nominal
800,80,6,4,1,24,9.99985871885656e-10,3.16223846941469e-05,0.0802139037433155,0.160427807486631,0,GAT,nominal
1000,60,4,6,1,24,9.99982319171977e-10,3.16224970420107e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
1000,80,4,6,1,24,9.99968108317262e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
800,30,6,4,1,24,9.99957450176225e-10,3.16222161716029e-05,0.0907715582450832,0.181543116490166,0,GAT,nominal
800,80,4,6,1,24,9.99946792035189e-10,3.16219352987003e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
800,30,4,8,1,32,2.39978349822952,1.54912346126124,0.169491525423729,0.338983050847458,0,T,nominal
1000,30,4,8,1,32,0.0514327658638624,0.226787931477899,0.166204986149584,0.332409972299169,0,GAT,nominal
800,60,4,8,1,32,1.00000718816773e-09,3.16228902563907e-05,0.093167701863354,0.186335403726708,0,GAT,nominal
1000,60,4,8,1,32,9.99989424599335e-10,3.16226093894754e-05,0.0920245398773006,0.184049079754601,0,GAT,nominal
800,80,4,8,1,32,9.99975213744619e-10,3.1621654423303e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
1000,80,4,8,1,32,9.99964555603583e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,nominal
800,60,6,6,1,36,1.4853499283908,1.21874932959562,0.166204986149584,0.332409972299169,0,T,nominal
1000,60,6,6,1,36,0.108124104340491,0.328822299030717,0.155038759689922,0.310077519379845,0,GAT,nominal
800,80,6,6,1,36,0.000696952643352233,0.0263998606686894,0.125523012552301,0.251046025104602,0,GAT,nominal
1000,80,6,6,1,36,4.65315633277896e-05,0.00682140479520826,0.0867052023121387,0.173410404624277,0,GAT,nominal
800,30,6,6,1,36,9.99989424599335e-10,3.16226093894753e-05,0.212014134275618,0.424028268551237,0,GAT,nominal
1000,30,6,6,1,36,9.99978766458298e-10,3.16225953460641e-05,0.201342281879195,0.402684563758389,0,GAT,nominal
800,30,6,8,1,48,12.1605844792644,3.48720295928741,0.303030303030303,0.606060606060606,0,T,nominal
1000,30,6,8,1,48,10.514075606564,3.24254153505565,0.280373831775701,0.560747663551402,0,T,nominal
800,80,6,8,1,48,5.07636136726092,2.2530781982127,0.145278450363196,0.290556900726392,0,T,nominal
1000,80,6,8,1,48,1.00001074088141e-09,3.16229464294744e-05,0.116279069767442,0.232558139534884,0,GAT,nominal
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,heading
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,heading
1000,30,4,4,1,16,9.99991200956174e-10,3.1622805996578e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
800,60,4,4,1,16,9.99968108317262e-10,3.16221599972219e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
800,30,4,4,1,16,9.99953897462547e-10,3.16220476481607e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
800,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,heading
1000,60,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,heading
1000,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,heading
1000,30,4,6,1,24,0.000480675363336516,0.0219243098733705,0.109489051094891,0.218978102189781,0,GAT,heading
800,60,6,4,1,24,0.000320627031186405,0.0179060612974044,0.130718954248366,0.261437908496732,0,GAT,heading
1000,60,6,4,1,24,1.00001784630877e-09,3.16229464294744e-05,0.120481927710843,0.240963855421687,0,GAT,heading
800,60,4,6,1,24,1.00000008274037e-09,3.16227779099239e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
1000,80,6,4,1,24,9.99992977313013e-10,3.1622665563058e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
1000,30,6,4,1,24,9.99991200956174e-10,3.16227234919606e-05,0.0896860986547085,0.179372197309417,0,GAT,heading
800,30,4,6,1,24,9.99989424599335e-10,3.16226093894753e-05,0.11472275334608,0.229445506692161,0,GAT,heading
800,80,6,4,1,24,9.99985871885656e-10,3.16223846941469e-05,0.0802139037433155,0.160427807486631,0,GAT,heading
1000,60,4,6,1,24,9.99982319171977e-10,3.16224970420107e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
1000,80,4,6,1,24,9.99968108317262e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
800,30,6,4,1,24,9.99957450176225e-10,3.16222161716029e-05,0.0907715582450832,0.181543116490166,0,GAT,heading
800,80,4,6,1,24,9.99946792035189e-10,3.16219352987003e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
800,30,4,8,1,32,2.39978349822952,1.54912346126124,0.169491525423729,0.338983050847458,0,T,heading
1000,30,4,8,1,32,0.0514327658638624,0.226787931477899,0.166204986149584,0.332409972299169,0,GAT,heading
800,60,4,8,1,32,1.00000718816773e-09,3.16228902563907e-05,0.093167701863354,0.186335403726708,0,GAT,heading
1000,60,4,8,1,32,9.99989424599335e-10,3.16226093894754e-05,0.0920245398773006,0.184049079754601,0,GAT,heading
800,80,4,8,1,32,9.99975213744619e-10,3.1621654423303e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
1000,80,4,8,1,32,9.99964555603583e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,heading
800,60,6,6,1,36,1.4853499283908,1.21874932959562,0.166204986149584,0.332409972299169,0,T,heading
1000,60,6,6,1,36,0.108124104340491,0.328822299030717,0.155038759689922,0.310077519379845,0,GAT,heading
800,80,6,6,1,36,0.000696952643352233,0.0263998606686894,0.125523012552301,0.251046025104602,0,GAT,heading
1000,80,6,6,1,36,4.65315633277896e-05,0.00682140479520826,0.0867052023121387,0.173410404624277,0,GAT,heading
800,30,6,6,1,36,9.99989424599335e-10,3.16226093894753e-05,0.212014134275618,0.424028268551237,0,GAT,heading
1000,30,6,6,1,36,9.99978766458298e-10,3.16225953460641e-05,0.201342281879195,0.402684563758389,0,GAT,heading
800,30,6,8,1,48,12.1605844792644,3.48720295928741,0.303030303030303,0.606060606060606,0,T,heading
1000,30,6,8,1,48,10.514075606564,3.24254153505565,0.280373831775701,0.560747663551402,0,T,heading
800,80,6,8,1,48,5.07636136726092,2.2530781982127,0.145278450363196,0.290556900726392,0,T,heading
1000,80,6,8,1,48,1.00001074088141e-09,3.16229464294744e-05,0.116279069767442,0.232558139534884,0,GAT,heading
800,60,6,8,1,48,893.461846993687,29.8908321562597,0.8,1.6,1,OK,critical
1000,60,6,8,1,48,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,1,OK,critical
1000,30,4,4,1,16,9.99991200956174e-10,3.1622805996578e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
800,60,4,4,1,16,9.99968108317262e-10,3.16221599972219e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
800,30,4,4,1,16,9.99953897462547e-10,3.16220476481607e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
800,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,critical
1000,60,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,critical
1000,80,4,4,1,16,0,0,0.0696864111498258,0.139372822299652,0,GAT,critical
1000,30,4,6,1,24,0.000480675363336516,0.0219243098733705,0.109489051094891,0.218978102189781,0,GAT,critical
800,60,6,4,1,24,0.000320627031186405,0.0179060612974044,0.130718954248366,0.261437908496732,0,GAT,critical
1000,60,6,4,1,24,1.00001784630877e-09,3.16229464294744e-05,0.120481927710843,0.240963855421687,0,GAT,critical
800,60,4,6,1,24,1.00000008274037e-09,3.16227779099239e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
1000,80,6,4,1,24,9.99992977313013e-10,3.1622665563058e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
1000,30,6,4,1,24,9.99991200956174e-10,3.16227234919606e-05,0.0896860986547085,0.179372197309417,0,GAT,critical
800,30,4,6,1,24,9.99989424599335e-10,3.16226093894753e-05,0.11472275334608,0.229445506692161,0,GAT,critical
800,80,6,4,1,24,9.99985871885656e-10,3.16223846941469e-05,0.0802139037433155,0.160427807486631,0,GAT,critical
1000,60,4,6,1,24,9.99982319171977e-10,3.16224970420107e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
1000,80,4,6,1,24,9.99968108317262e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
800,30,6,4,1,24,9.99957450176225e-10,3.16222161716029e-05,0.0907715582450832,0.181543116490166,0,GAT,critical
800,80,4,6,1,24,9.99946792035189e-10,3.16219352987003e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
800,30,4,8,1,32,2.39978349822952,1.54912346126124,0.169491525423729,0.338983050847458,0,T,critical
1000,30,4,8,1,32,0.0514327658638624,0.226787931477899,0.166204986149584,0.332409972299169,0,GAT,critical
800,60,4,8,1,32,1.00000718816773e-09,3.16228902563907e-05,0.093167701863354,0.186335403726708,0,GAT,critical
1000,60,4,8,1,32,9.99989424599335e-10,3.16226093894754e-05,0.0920245398773006,0.184049079754601,0,GAT,critical
800,80,4,8,1,32,9.99975213744619e-10,3.1621654423303e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
1000,80,4,8,1,32,9.99964555603583e-10,3.1622272345884e-05,0.0696864111498258,0.139372822299652,0,GAT,critical
800,60,6,6,1,36,1.4853499283908,1.21874932959562,0.166204986149584,0.332409972299169,0,T,critical
1000,60,6,6,1,36,0.108124104340491,0.328822299030717,0.155038759689922,0.310077519379845,0,GAT,critical
800,80,6,6,1,36,0.000696952643352233,0.0263998606686894,0.125523012552301,0.251046025104602,0,GAT,critical
1000,80,6,6,1,36,4.65315633277896e-05,0.00682140479520826,0.0867052023121387,0.173410404624277,0,GAT,critical
800,30,6,6,1,36,9.99989424599335e-10,3.16226093894753e-05,0.212014134275618,0.424028268551237,0,GAT,critical
1000,30,6,6,1,36,9.99978766458298e-10,3.16225953460641e-05,0.201342281879195,0.402684563758389,0,GAT,critical
800,30,6,8,1,48,12.1605844792644,3.48720295928741,0.303030303030303,0.606060606060606,0,T,critical
1000,30,6,8,1,48,10.514075606564,3.24254153505565,0.280373831775701,0.560747663551402,0,T,critical
800,80,6,8,1,48,5.07636136726092,2.2530781982127,0.145278450363196,0.290556900726392,0,T,critical
1000,80,6,8,1,48,1.00001074088141e-09,3.16229464294744e-05,0.116279069767442,0.232558139534884,0,GAT,critical
